epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,642.553,1.20098,1.39524,1.36402,0.40284,0.76667,0.49352,0.20905,2.01292,3.12307,2.28332,0.00132868,0.00132868,0.00132868
43,657.361,1.13544,1.35738,1.30605,0.66639,0.81667,0.7823,0.28415,2.15703,1.94492,2.49283,0.00132043,0.00132043,0.00132043
44,672.25,1.14449,1.22187,1.30615,0.70492,0.65583,0.78463,0.36215,1.98104,2.00615,2.28354,0.00131218,0.00131218,0.00131218
45,687.076,1.07392,1.20872,1.21632,1,0.48855,0.66789,0.30051,1.90084,2.34304,2.17494,0.00130393,0.00130393,0.00130393
46,701.955,1.13361,1.19708,1.24532,0.92346,0.45,0.59986,0.29215,1.87458,2.23217,2.04488,0.00129568,0.00129568,0.00129568
47,716.76,1.10419,1.25092,1.24553,0.56739,0.5,0.47605,0.24873,2.05144,2.28933,2.22015,0.00128742,0.00128742,0.00128742
48,731.623,1.06929,1.2488,1.24505,0.6048,0.46667,0.50019,0.24851,2.11495,2.35217,2.23735,0.00127917,0.00127917,0.00127917
49,746.489,1.11012,1.18829,1.26028,0.89086,0.5985,0.68143,0.33298,1.97195,2.19463,2.10753,0.00127092,0.00127092,0.00127092
50,761.328,1.12736,1.18808,1.26426,0.70512,0.71667,0.66169,0.38193,1.853,1.97578,2.0876,0.00126267,0.00126267,0.00126267
51,776.187,1.05808,1.12748,1.24997,0.83299,0.6644,0.66475,0.34556,1.93266,1.899,2.1509,0.00125442,0.00125442,0.00125442
52,790.888,1.14142,1.24155,1.31103,0.61995,0.70511,0.68212,0.39973,1.74287,2.00653,2.04846,0.00124617,0.00124617,0.00124617
53,805.727,1.07347,1.1353,1.24115,0.80856,0.5,0.64525,0.33677,1.91607,1.87682,2.2151,0.00123791,0.00123791,0.00123791
54,820.611,1.1269,1.11893,1.27603,0.87162,0.5371,0.68607,0.34299,1.94112,1.90422,2.19483,0.00122966,0.00122966,0.00122966
55,835.354,1.03389,1.12258,1.24091,0.61981,0.76667,0.63594,0.31728,1.81043,1.93465,2.08501,0.00122141,0.00122141,0.00122141
56,850.324,1.04928,1.13827,1.24204,0.66514,0.71667,0.59477,0.289,1.95284,1.97832,2.22177,0.00121316,0.00121316,0.00121316
57,865.169,1.09044,1.10936,1.29074,0.72349,0.75429,0.64699,0.29074,2.00139,1.83338,2.22817,0.00120491,0.00120491,0.00120491
58,879.912,1.04048,1.14237,1.26229,0.67801,0.68333,0.69138,0.33026,1.97298,1.72995,2.20337,0.00119666,0.00119666,0.00119666
59,894.773,1.00004,1.03398,1.23375,0.79954,0.76667,0.80622,0.3866,1.77602,1.7284,2.10121,0.0011884,0.0011884,0.0011884
60,909.618,0.98569,1.04579,1.20605,0.94804,0.68202,0.79207,0.41807,1.72225,1.66161,2.00352,0.00118015,0.00118015,0.00118015
61,924.674,1.03211,1.08571,1.22985,0.99466,0.61926,0.75734,0.37405,1.75263,1.75155,1.97872,0.0011719,0.0011719,0.0011719
62,939.62,1.02999,1.05712,1.24298,0.81432,0.67742,0.69515,0.32233,2.01586,1.97851,2.17128,0.00116365,0.00116365,0.00116365
63,954.629,0.94253,0.98394,1.1595,0.87095,0.5,0.60932,0.24293,2.02995,2.27962,2.24872,0.0011554,0.0011554,0.0011554
64,969.772,0.99934,0.93832,1.16929,0.59935,0.63333,0.61993,0.2697,2.17465,2.10732,2.31485,0.00114715,0.00114715,0.00114715
65,984.734,0.99938,1.00674,1.17794,0.88769,0.63136,0.74571,0.28585,2.24312,1.70681,2.30662,0.00113889,0.00113889,0.00113889
66,999.645,1.09869,1.07935,1.27165,0.75763,0.70764,0.73384,0.30096,2.0279,1.8143,2.15682,0.00113064,0.00113064,0.00113064
67,1014.51,1.01646,0.95295,1.1864,0.76828,0.7119,0.67377,0.2772,2.19816,1.87675,2.35107,0.00112239,0.00112239,0.00112239
68,1029.66,0.96155,0.93115,1.19261,0.77951,0.63333,0.70156,0.27577,2.20335,1.7523,2.35545,0.00111414,0.00111414,0.00111414
69,1044.49,0.96599,1.0275,1.19455,0.87877,0.76667,0.80201,0.33644,1.99463,1.60136,2.25666,0.00110589,0.00110589,0.00110589
70,1059.43,0.95872,0.94141,1.19732,0.96966,0.73057,0.80157,0.40636,1.78173,1.4475,2.04005,0.00109764,0.00109764,0.00109764
71,1074.15,0.99116,1.03737,1.24774,0.90819,0.67154,0.72309,0.38999,1.78433,1.58388,2.02071,0.00108938,0.00108938,0.00108938
72,1088.93,0.91441,0.87047,1.15339,0.94807,0.61748,0.73701,0.38304,1.8593,1.6747,2.11059,0.00108113,0.00108113,0.00108113
73,1103.66,0.94355,0.92097,1.20246,0.82072,0.66667,0.72856,0.39619,1.94848,1.76976,2.20826,0.00107288,0.00107288,0.00107288
74,1118.53,0.96684,0.97166,1.17935,0.8161,0.66667,0.72309,0.38451,1.88485,1.66764,2.12233,0.00106463,0.00106463,0.00106463
75,1133.3,0.90544,0.9038,1.13944,0.73013,0.73574,0.72672,0.43733,1.77627,1.49596,1.99463,0.00105638,0.00105638,0.00105638
76,1148.23,0.89213,0.88783,1.12973,0.77124,0.65813,0.67108,0.36888,1.81294,1.65401,2.02663,0.00104813,0.00104813,0.00104813
77,1163.02,0.87416,0.83377,1.12651,0.87865,0.62801,0.67927,0.36557,1.88174,1.71617,2.08874,0.00103987,0.00103987,0.00103987
78,1177.93,0.88135,0.87265,1.17294,0.79386,0.76263,0.75226,0.43699,1.85945,1.53029,2.08246,0.00103162,0.00103162,0.00103162
79,1192.63,0.97083,0.93549,1.20442,1,0.69959,0.76367,0.45633,1.76851,1.7039,1.96554,0.00102337,0.00102337,0.00102337
80,1207.64,0.91313,0.88278,1.12245,0.98373,0.65988,0.74572,0.41085,1.79666,1.68427,1.97353,0.00101512,0.00101512,0.00101512
81,1222.45,0.93865,0.90036,1.15988,0.97601,0.5449,0.66627,0.39987,1.89569,1.5985,2.18197,0.00100687,0.00100687,0.00100687
82,1237.28,0.9136,0.93297,1.1597,0.66376,0.59496,0.61637,0.37105,1.83794,1.87867,2.06689,0.000998616,0.000998616,0.000998616
83,1252.37,0.82787,0.85443,1.1107,0.91997,0.58333,0.62635,0.37712,1.88968,2.0885,2.19907,0.000990365,0.000990365,0.000990365
84,1267.26,0.89275,0.85668,1.15908,0.94481,0.46667,0.58044,0.35805,1.92288,1.96353,2.36215,0.000982113,0.000982113,0.000982113
85,1282.19,0.88232,0.84053,1.14599,0.75584,0.63333,0.62732,0.35767,2.10997,1.95195,2.55171,0.000973861,0.000973861,0.000973861
86,1297.02,0.82796,0.84583,1.14283,0.8318,0.63333,0.65021,0.25486,2.32999,2.07214,2.73167,0.00096561,0.00096561,0.00096561
87,1312.04,0.83943,0.83074,1.11017,0.84426,0.53054,0.66088,0.31247,2.10343,2.11503,2.40086,0.000957358,0.000957358,0.000957358
88,1326.84,0.86573,0.82887,1.12867,0.83294,0.63333,0.67614,0.3409,2.03695,2.00547,2.31254,0.000949106,0.000949106,0.000949106
89,1341.78,0.88801,0.87082,1.13553,0.75048,0.63333,0.6543,0.3115,2.07146,2.2019,2.28091,0.000940855,0.000940855,0.000940855
90,1356.54,0.81091,0.85012,1.10686,0.75655,0.61134,0.62279,0.2901,2.0697,2.27324,2.20033,0.000932603,0.000932603,0.000932603
91,1371.63,0.81729,0.77088,1.07612,0.93075,0.72926,0.79193,0.32895,1.86571,1.81567,2.01761,0.000924352,0.000924352,0.000924352
92,1386.55,0.82189,0.84052,1.12769,0.80187,0.68333,0.67662,0.37307,1.73764,1.91859,2.00055,0.0009161,0.0009161,0.0009161
93,1401.42,0.76549,0.78327,1.08609,0.74789,0.6737,0.6741,0.35842,1.77051,1.98193,1.98695,0.000907848,0.000907848,0.000907848
94,1416.31,0.78552,0.70691,1.06841,0.89574,0.61913,0.69888,0.40355,1.78834,1.47891,1.87919,0.000899597,0.000899597,0.000899597
95,1431.18,0.85336,0.80729,1.09146,0.8739,0.67195,0.72783,0.41978,1.67565,1.51193,1.88931,0.000891345,0.000891345,0.000891345
96,1446.03,0.85906,0.80172,1.12138,0.84096,0.68333,0.70259,0.39667,1.74485,1.56165,1.96398,0.000883093,0.000883093,0.000883093
97,1461.01,0.76941,0.76884,1.04517,0.8599,0.58235,0.66234,0.37398,1.84682,1.67311,1.97982,0.000874842,0.000874842,0.000874842
98,1475.82,0.83442,0.83493,1.09396,0.73674,0.65166,0.6931,0.39797,1.79966,1.63651,1.92834,0.00086659,0.00086659,0.00086659
99,1490.81,0.79863,0.74371,1.0788,0.6598,0.66667,0.63506,0.38467,1.90658,1.58943,2.14987,0.000858338,0.000858338,0.000858338
100,1505.69,0.87365,0.82165,1.10781,0.8082,0.6151,0.62706,0.33405,1.91954,1.66452,2.20367,0.000850087,0.000850087,0.000850087
101,1520.64,0.75259,0.70588,1.04482,0.95582,0.55875,0.60864,0.29856,1.99266,1.77581,2.32884,0.000841835,0.000841835,0.000841835
102,1535.91,0.79294,0.7443,1.07441,1,0.57688,0.60084,0.31572,2.04059,1.68588,2.42633,0.000833583,0.000833583,0.000833583
103,1550.88,0.7684,0.6945,1.09807,0.93928,0.57193,0.60215,0.37819,1.79366,1.39164,2.25076,0.000825332,0.000825332,0.000825332
104,1566.34,0.79748,0.72705,1.08217,0.94588,0.56073,0.70288,0.41307,1.6857,1.43965,2.11378,0.00081708,0.00081708,0.00081708
105,1581.27,0.75449,0.71235,1.03764,0.77909,0.68333,0.69833,0.39668,1.69617,1.60356,2.08365,0.000808828,0.000808828,0.000808828
106,1596.02,0.76826,0.67573,1.0873,0.94364,0.72729,0.76734,0.43332,1.62632,1.56296,1.99105,0.000800577,0.000800577,0.000800577
107,1610.8,0.7279,0.67409,1.02447,0.95514,0.80847,0.85644,0.45709,1.66934,1.36197,2.03676,0.000792325,0.000792325,0.000792325
108,1625.83,0.71454,0.67524,1.06174,0.90165,0.81271,0.83869,0.44586,1.69327,1.25633,2.0883,0.000784073,0.000784073,0.000784073
109,1640.74,0.72348,0.68665,1.03423,0.91337,0.75748,0.83524,0.44676,1.61926,1.35492,1.97138,0.000775822,0.000775822,0.000775822
110,1655.68,0.73219,0.72183,1.06782,0.86147,0.59201,0.71589,0.4561,1.67787,1.578,2.03888,0.00076757,0.00076757,0.00076757
111,1670.51,0.81114,0.76758,1.11553,0.88478,0.62145,0.7485,0.40791,1.7153,1.66282,1.93707,0.000759318,0.000759318,0.000759318
112,1685.37,0.68619,0.65264,1.00723,0.89233,0.69243,0.77825,0.41781,1.66331,1.5899,1.86186,0.000751067,0.000751067,0.000751067
113,1700.26,0.6987,0.66071,1.05021,0.8844,0.70694,0.80796,0.43337,1.72323,1.39435,1.90279,0.000742815,0.000742815,0.000742815
114,1714.99,0.72389,0.69981,1.07776,0.80494,0.71667,0.79125,0.45183,1.70613,1.33103,1.89162,0.000734564,0.000734564,0.000734564
115,1729.86,0.73878,0.68998,1.06586,0.78489,0.62145,0.74551,0.44433,1.8523,1.49537,2.00923,0.000726312,0.000726312,0.000726312
116,1744.8,0.74315,0.67069,1.02911,0.73691,0.58333,0.65801,0.37562,1.85022,1.54545,2.04821,0.00071806,0.00071806,0.00071806
117,1759.71,0.74076,0.70905,1.04516,0.94984,0.49889,0.64369,0.35645,1.91384,1.53565,2.09257,0.000709809,0.000709809,0.000709809
118,1774.48,0.68969,0.65013,1.04019,0.97251,0.5,0.63049,0.37035,1.86311,1.55356,2.08538,0.000701557,0.000701557,0.000701557
119,1789.25,0.76206,0.71144,1.06862,0.9765,0.5,0.65074,0.40369,1.80117,1.66165,2.07825,0.000693305,0.000693305,0.000693305
120,1804.14,0.68071,0.62752,1.00547,0.96821,0.5,0.60164,0.38989,1.7635,1.86728,1.99068,0.000685054,0.000685054,0.000685054
121,1819.07,0.68975,0.64607,1.02442,0.956,0.49284,0.59942,0.38539,1.72148,1.86368,1.88765,0.000676802,0.000676802,0.000676802
122,1833.91,0.69052,0.68068,1.01636,0.93483,0.48667,0.60131,0.3839,1.70052,1.82935,1.87053,0.00066855,0.00066855,0.00066855
123,1848.84,0.6549,0.64959,1.01758,0.71108,0.56507,0.59999,0.40356,1.62134,1.60104,1.7599,0.000660299,0.000660299,0.000660299
124,1863.75,0.66233,0.63504,1.00333,0.76821,0.57712,0.62126,0.39524,1.71303,1.64612,1.86371,0.000652047,0.000652047,0.000652047
125,1878.62,0.66586,0.62914,1.01502,0.73294,0.71433,0.65065,0.40854,1.73312,1.45557,1.85146,0.000643795,0.000643795,0.000643795
126,1893.49,0.62067,0.617,0.99744,0.75357,0.6518,0.65903,0.44271,1.72965,1.35775,1.85664,0.000635544,0.000635544,0.000635544
127,1908.39,0.65525,0.61086,1.00493,0.7768,0.71667,0.68302,0.41435,1.85593,1.40788,2.01344,0.000627292,0.000627292,0.000627292
128,1923.28,0.62437,0.57481,0.99844,0.79146,0.71667,0.6965,0.40042,1.85739,1.33901,1.98947,0.00061904,0.00061904,0.00061904
129,1938.27,0.67556,0.62656,1.05059,0.89886,0.76667,0.76821,0.43693,1.94016,1.35069,2.08772,0.000610789,0.000610789,0.000610789
130,1953.11,0.63645,0.5944,1.01397,0.84392,0.76667,0.75846,0.41402,1.89631,1.40145,2.07747,0.000602537,0.000602537,0.000602537
131,1968.28,0.6522,0.60555,1.0057,1,0.74307,0.77875,0.44943,1.75838,1.48126,2.01266,0.000594286,0.000594286,0.000594286
132,1983.23,0.62847,0.63473,1.0072,0.95019,0.58333,0.71218,0.38452,1.72219,1.60196,2.02016,0.000586034,0.000586034,0.000586034
133,1997.95,0.68442,0.65291,1.02732,0.93921,0.58333,0.69634,0.39725,1.68762,1.69413,1.99345,0.000577782,0.000577782,0.000577782
134,2012.81,0.61999,0.59052,1.0128,0.89441,0.63333,0.68214,0.42921,1.58762,1.74266,1.93088,0.000569531,0.000569531,0.000569531
135,2027.69,0.60648,0.59515,0.99326,0.9703,0.65836,0.75635,0.439,1.65248,1.68177,1.97387,0.000561279,0.000561279,0.000561279
136,2042.39,0.63444,0.60499,1.00294,0.84683,0.75229,0.77012,0.41938,1.73264,1.66621,2.03818,0.000553027,0.000553027,0.000553027
137,2057.17,0.64863,0.61081,1.00959,0.75972,0.73868,0.73262,0.39945,1.93261,1.62487,2.229,0.000544776,0.000544776,0.000544776
138,2071.95,0.62098,0.57165,0.9888,0.89682,0.68141,0.70484,0.39189,1.98876,1.58074,2.27833,0.000536524,0.000536524,0.000536524
139,2086.81,0.59627,0.5753,0.97578,0.7821,0.67212,0.699,0.35391,2.02797,1.59523,2.37032,0.000528272,0.000528272,0.000528272
140,2101.69,0.64688,0.60688,1.0297,0.74445,0.66512,0.70904,0.36994,1.97985,1.65826,2.32217,0.000520021,0.000520021,0.000520021
141,2116.59,0.64984,0.61841,1.02133,0.83809,0.57432,0.68824,0.34923,2.00574,1.70807,2.32352,0.000511769,0.000511769,0.000511769
