epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,2651.46,0.50305,0.47261,0.95386,1,0.74088,0.80806,0.48574,1.64651,1.16665,1.86064,0.00021471,0.00021471,0.00021471
178,2666.38,0.47413,0.43921,0.94673,1,0.73677,0.80838,0.48661,1.66377,1.18055,1.8814,0.000206458,0.000206458,0.000206458
179,2681.36,0.51682,0.47269,0.92292,0.86585,0.70745,0.78578,0.4914,1.65687,1.33155,1.89404,0.000198206,0.000198206,0.000198206
180,2696.31,0.48055,0.46371,0.93852,0.92411,0.7137,0.77779,0.49747,1.61026,1.40376,1.85637,0.000189955,0.000189955,0.000189955
181,2711.11,0.46416,0.44165,0.93372,0.90891,0.70725,0.78203,0.48788,1.6378,1.43907,1.89186,0.000181703,0.000181703,0.000181703
182,2726.39,0.50149,0.46758,0.95084,0.88973,0.70927,0.7661,0.4846,1.62849,1.53774,1.89594,0.000173451,0.000173451,0.000173451
183,2741.25,0.46975,0.46914,0.92295,0.88926,0.711,0.75932,0.4801,1.63713,1.53325,1.90288,0.0001652,0.0001652,0.0001652
184,2756.24,0.46919,0.46175,0.93366,0.88996,0.71171,0.77213,0.47129,1.63575,1.53995,1.9,0.000156948,0.000156948,0.000156948
185,2771.28,0.46668,0.45962,0.93751,0.89365,0.71336,0.77517,0.47426,1.61951,1.45338,1.85979,0.000148696,0.000148696,0.000148696
186,2786.3,0.49678,0.44954,0.95862,0.8965,0.71445,0.77172,0.46233,1.65588,1.46091,1.89161,0.000140445,0.000140445,0.000140445
187,2801.28,0.48408,0.46201,0.94058,0.89553,0.71667,0.76949,0.48272,1.66651,1.53639,1.9103,0.000132193,0.000132193,0.000132193
188,2816.25,0.45131,0.43035,0.93033,0.88714,0.71444,0.76523,0.46962,1.66986,1.57271,1.91457,0.000123941,0.000123941,0.000123941
189,2831.29,0.49214,0.48688,0.93241,0.88925,0.71458,0.76561,0.47633,1.66484,1.57646,1.92567,0.00011569,0.00011569,0.00011569
190,2846.36,0.48059,0.44858,0.9464,0.8639,0.70651,0.76863,0.46255,1.67019,1.59597,1.92347,0.000107438,0.000107438,0.000107438
191,2861.13,0.3762,0.3664,0.87629,0.98021,0.68154,0.78195,0.44948,1.65008,1.67367,1.88857,9.91865e-05,9.91865e-05,9.91865e-05
192,2875.85,0.42813,0.41229,0.88159,0.97751,0.67796,0.79122,0.44888,1.65095,1.64663,1.89238,9.09349e-05,9.09349e-05,9.09349e-05
193,2890.67,0.39849,0.37947,0.85876,0.97952,0.6756,0.79445,0.42551,1.70878,1.64697,1.99856,8.26832e-05,8.26832e-05,8.26832e-05
194,2905.2,0.37752,0.37757,0.85831,0.97907,0.67621,0.78728,0.42335,1.7132,1.61972,2.0369,7.44316e-05,7.44316e-05,7.44316e-05
195,2919.91,0.37931,0.35722,0.88076,0.98094,0.67784,0.76327,0.42348,1.70642,1.6432,2.02803,6.61799e-05,6.61799e-05,6.61799e-05
196,2934.6,0.34902,0.34194,0.86536,0.98088,0.6837,0.76016,0.43176,1.72818,1.6191,2.06579,5.79283e-05,5.79283e-05,5.79283e-05
197,2949.26,0.34453,0.33507,0.83275,0.98122,0.68468,0.75303,0.43419,1.73193,1.6294,2.06729,4.96766e-05,4.96766e-05,4.96766e-05
198,2963.9,0.35305,0.34996,0.863,0.98429,0.68721,0.7468,0.44062,1.72635,1.64482,2.05691,4.1425e-05,4.1425e-05,4.1425e-05
199,2978.61,0.35464,0.3443,0.84777,0.98104,0.69173,0.75139,0.44929,1.65237,1.59342,2.00827,3.31733e-05,3.31733e-05,3.31733e-05
200,2993.21,0.35477,0.34009,0.85018,0.98127,0.69399,0.75559,0.46618,1.64974,1.58193,2.01379,2.49217e-05,2.49217e-05,2.49217e-05
